PG.ID,site,level,C14mean,C14sdev,C14.COV,lab.num,material,calib.curve,calBPmedian,group,region,notes
,San Cristóbal,NA,5100,30,0.00588235294117647,Beta-307800,NA,intcal20,5836,Neolithic,Ebro,
,San Cristóbal,NA,5320,30,0.0056390977443609,Beta-337632,NA,intcal20,6104,Neolithic,Ebro,
,San Cristóbal,NA,5410,30,0.0055452865064695,Beta-373276,NA,intcal20,6160,Neolithic,Ebro,
,San Cristóbal,NA,5460,30,0.00549450549450549,Beta-373277,NA,intcal20,6272,Neolithic,Ebro,
,San Cristóbal,NA,5490,30,0.00546448087431694,Beta-373275,NA,intcal20,6296,Neolithic,Ebro,
,San Cristóbal,NA,5500,30,0.00545454545454546,Beta-373631,NA,intcal20,6298,Neolithic,Ebro,
,Socuevas,NA,7590,45,0.00592885375494071,GrA-46015,NA,intcal20,8374,Mesolithic,Ebro,
,Torrazas,NA,5570,60,0.0107719928186715,GrN-18320,NA,intcal20,6408,Neolithic,Ebro,
,Trocs,NA,5005,27,0.0053946053946054,Mams-14856,NA,intcal20,5755,Neolithic,Ebro,
,Trocs,NA,5008,27,0.00539137380191693,Mams-16160,NA,intcal20,5756,Neolithic,Ebro,
,Trocs,NA,5035,23,0.00456802383316783,Mams-16165,NA,intcal20,5782,Neolithic,Ebro,
,Trocs,NA,5580,40,0.00716845878136201,Beta-319513,NA,intcal20,6380,Neolithic,Ebro,
,Trocs,NA,5590,40,0.00715563506261181,Beta-316511,NA,intcal20,6391,Neolithic,Ebro,
,Trocs,NA,6050,40,0.00661157024793388,Beta-316514,NA,intcal20,6945,Neolithic,Ebro,
,Trocs,NA,6060,40,0.0066006600660066,Beta-295782,NA,intcal20,6948,Neolithic,Ebro,
,Trocs,NA,6070,40,0.00658978583196046,Beta-284150,NA,intcal20,6952,Neolithic,Ebro,
,Trocs,NA,6080,40,0.00657894736842105,Beta-326512,NA,intcal20,6954,Neolithic,Ebro,
,Trocs,NA,6217,25,0.00402123210551713,Mams-16161,NA,intcal20,7121,Neolithic,Ebro,
,Trocs,NA,6218,24,0.00385976198134448,Mams-16162,NA,intcal20,7124,Neolithic,Ebro,
,Trocs,NA,6234,28,0.00449149823548284,Mams-16166,NA,intcal20,7130,Neolithic,Ebro,
,Trocs,NA,6249,25,0.00400064010241639,Mams-16164,NA,intcal20,7144,Neolithic,Ebro,
,Trocs,NA,6249,20,0.00320051208193311,Mams-16168,NA,intcal20,7158,Neolithic,Ebro,
,Trocs,NA,6280,25,0.00398089171974522,Mams-16159,NA,intcal20,7224,Neolithic,Ebro,
,Trocs,NA,6285,25,0.00397772474144789,Mams-16163,NA,intcal20,7234,Neolithic,Ebro,
,Valcervera,NA,6815,45,0.0066030814380044,GrA-27876,NA,intcal20,7684,Mesolithic,Ebro,
,Valcervera,NA,6995,40,0.00571837026447462,GrA-45783,NA,intcal20,7820,Mesolithic,Ebro,
,Valcervera,NA,7035,45,0.00639658848614072,GrA-45763,NA,intcal20,7845,Mesolithic,Ebro,
,Valmayor XI,NA,6090,30,0.00492610837438424,Beta-341167,NA,intcal20,6976,Neolithic,Ebro,
,Valmayor XI,NA,6570,30,0.0045662100456621,Beta-341168,NA,intcal20,7495,Mesolithic,Ebro,
,Zatoya,Ib,8150,170,0.0208588957055215,Ly-1398,bone,intcal20,9030,Mesolithic,Ebro,
,Zatoya,Ib,8250,550,0.0666666666666667,Ly-1457,bone,intcal20,9394,Mesolithic,Ebro,
